year	Date	rep	route	site.name	site.num	distance	temp	sal
2004	27-May	3	Lower Knight	14.9 Km W of Sargeaunts Pass (East side Lady Isl)	12	10.9	12.0	23
2004	28-May	3	Lower Knight	17.4 Km W of  Sargeaunts Pass (west side of lady isl)	13	13.4	12.0	23
2004	30-May	3	Lower Knight	20 Km W of Sargeaunts Pass	14	16	12.0	18
2004	31-May	3	Lower Knight	22.6 Km W of Sargeaunts Pass	15	18.6	10.5	23
2004	31-May	3	Lower Knight	25.1 Km W of Sargeaunts Pass	16	21.1	10.5	24
2004	22-May	3	Tribune	2.2 Km S of Humphrey Rock	9	2.5	10.0	27
2004	22-May	3	Tribune	0.7 Km S of Humphrey Rock	10	4	10.5	27
2004	22-May	3	Tribune	0.7 Km N of Humphrey Rock	11	5.5	11.0	29
2004	22-May	3	Tribune	2.4 Km N of Humphrey Rock	12	6.9	11.0	29
2004	22-May	3	Tribune	4.6 Km N of Humphrey Rock	13	9.1	11.0	28
2004	23-May	3	Tribune	6.6 Km N of Humphrey Rock	14	11.3	13.0	25
2004	23-May	3	Tribune	9 Km N of Humphrey Rock	15	13.7	13.0	25
2004	24-May	3	Tribune	11.6 Km N of Humphrey Rock (rock east of trafford point)	16	15.9	13.0	25
2004	24-May	3	Tribune	Brown Point	17	17.6	13.5	24
2004	24-May	3	Tribune	2.9 Km N of Brown Point	18	20.1	14.5	24
2004	25-May	3	Tribune	Loaf Point	19	22.6	12.5	18
2004	25-May	3	Tribune	4 Sites E of Gacier Falls	20	24.8	13.0	22
2004	25-May	3	Tribune	3 Sites E of Glacier Falls	21	27.5	12.5	21
2004	25-May	3	Tribune	2 Sites E of Glacier Falls	22	29.8	12.5	22
2004	29-May	3	Tribune	1 Km E of Glacier Falls	23	31	NA	NA
2004	28-May	3	Tribune	0.9 Km W of Glacier Falls	24	32.7	12.5	22
2004	28-May	3	Tribune	2.8 Km W of Glacier Falls	25	34.6	13.0	22
2004	29-May	3	Tribune	5 Km W of Glacier Falls	26	36.8	12.0	17
2004	29-May	3	Tribune	7.4 Km W of Glacier Falls	27	41.3	13.0	17
2004	29-May	3	Tribune	9.5 Km W of Glacier Falls 	28	43	12.5	17
2004	27-May	3	Upper Knight	19.3 Km E of Hoya Head	1	-37.3	13.0	10
2004	25-May	3	Upper Knight	15.1 Km E of Sargeaunts Pass	2	-19.1	13.5	12
2004	26-May	3	Upper Knight	3 sites E of Sargeaunts Pass	3	-10.2	13.0	24
2004	23-May	3	Upper Knight	2.3 Km E of Sargeaunts Pass	4	-6.3	15.0	14
2004	23-May	3	Upper Knight	0.7 Km E of Sargeaunts Pass	5	-4.7	14.0	15
2004	21-May	3	Upper Knight	0.5 Km W of Sargeaunts Pass	6	-3.5	10.5	31
2004	21-May	3	Upper Knight	2 Km W of Sargeaunts Pass	7	-2.2	10.5	27
2004	21-May	3	Upper Knight	Shewell Island	8	0	10.5	27
2006	19-Apr	1	Tribune	Braza Islet	16	2	8.0	29
2006	19-Apr	1	Tribune	1 site S of Humphrey Rock	17	3.2	8.0	30
2006	17-Apr	1	Tribune	Humphrey Rock	18	4.7	7.0	33
2006	17-Apr	1	Tribune	1 site north of Humphrey Rock	19	5.3	8.0	33
2006	17-Apr	1	Tribune	2 sites N of Humphrey Rck	20	6.5	8.0	33
2006	17-Apr	1	Tribune	3 sites north of Humphrey Rock	21	8.9	7.5	32
2006	17-Apr	1	Tribune	4 sites N of Humphrey Rock	22	10.2	8.0	30
2006	15-Apr	1	Tribune	S Kumlah Isl	23	11.9	8.5	30
2006	14-Apr	1	Tribune	N Kumlah Isl	24	14.28	8.0	30
2006	14-Apr	1	Tribune	NW of Trafford Point	25	16.28	8.0	27
2006	14-Apr	1	Tribune	Brown Point	26	18.6	8.0	29
2006	15-Apr	1	Tribune	bwt Brown & Loaf Pt	27	20.98	8.0	27
2006	15-Apr	1	Tribune	Loaf Point	28	23.01	8.5	30
2006	13-Apr	1	Tribune	W of Bond Sound	29	25.24	8.0	30
2006	13-Apr	1	Tribune	Kwatsi Point	30	27.94	8.5	30
2006	12-Apr	1	Tribune	1 site E of Glacier Falls	31	30.24	8.5	31
2006	12-Apr	1	Tribune	Glacier Falls	32	32.74	8.5	31
2006	15-Apr	1	Tribune	1 site W of Glacier	33	34.74	7.9	26
2006	12-Apr	1	Tribune	3 sites E of Eagle Nest Bay	34	36.78	8.5	30
2006	11-Apr	1	Tribune	2 sites E of Eagle Nest Bay	35	39.28	8.5	32
2006	11-Apr	1	Tribune	1 site E of Eagle Nest Bay	36	41.39	9.5	32
2006	11-Apr	1	Tribune	Eagle Nest Bay	37	43.89	9.5	31
2006	10-Apr	1	Tribune	Fry Bay	38	45.49	9.0	31
2006	11-Apr	1	Tribune	Mid-Burdwoods(NE Denham Isl)	39	48.42	9.0	30
2006	10-Apr	1	Tribune	Denham Bay	40	49.24	9.0	31
2006	10-Apr	1	Tribune	SE corner of Pearse Peninsula	41	52.6	8.5	32
2006	10-Apr	1	Tribune	Bay of the Damned	42	56.73	9.0	32
2006	23-Apr	1	Upper Knight	Sallie Pt	1	-34.43	8.5	26
2006	22-Apr	1	Upper Knight	1 site W of Sallie Point	2	-32.71	9.0	33
2006	22-Apr	1	Upper Knight	2 sites W of Salie Point	3	-30	8.5	32
2006	22-Apr	1	Upper Knight	Matsiu Crk logging camp	4	-27.35	9.0	31
2006	22-Apr	1	Upper Knight	2 sites E of Hoeya Hd	5	-24.59	8.5	30
2006	22-Apr	1	Upper Knight	1 site E of Hoeya hd	6	-21.87	8.0	30
2006	22-Apr	1	Upper Knight	Hoeya Head	7	-18.95	8.0	28
2006	20-Apr	1	Upper Knight	E of Lull Creek	8	-15.45	8.0	22
2006	20-Apr	1	Upper Knight	W Lull Crk	9	-11.91	8.5	25
2006	20-Apr	1	Upper Knight	Site 30	10	-8.95	8.0	25
2006	20-Apr	1	Upper Knight	1 Site 29 	11	-6.75	8.0	27
2006	19-Apr	1	Upper Knight	Steep Head	12	-4.83	8.0	30
2006	20-Apr	1	Upper Knight	SE Viscount	13	-3.71	8.0	27
2006	19-Apr	1	Upper Knight	SW Viscount	14	-2.21	8.0	31
2006	19-Apr	1	Upper Knight	Shewell	15	0	8.0	28
2006	06-May	2	Tribune	Braza Islet	15	1.5	10.0	29
2006	07-May	2	Tribune	1 site S of Humphrey Rock	16	2.8	10.0	28
2006	07-May	2	Tribune	Humphrey Rock	17	4.11	10.0	29
2006	07-May	2	Tribune	1 site north of Humphrey Rock	18	4.88	10.0	30
2006	07-May	2	Tribune	2 sites N of Humphrey Rck	19	5.5	10.0	30
2006	03-May	2	Tribune	2 sites S of S Kumlah Isl	20	6.98	10.0	30
2006	03-May	2	Tribune	1 site S of S Kumlah	21	8.88	NA	28
2006	03-May	2	Tribune	S Kumlah Isl	22	11.08	NA	25
2006	03-May	2	Tribune	N Kumlah Isl	23	12.78	NA	28
2006	03-May	2	Tribune	NW of Trafford Point	24	14.28	NA	28
2006	02-May	2	Tribune	Brown Point	25	16.48	NA	21
2006	02-May	2	Tribune	bwt Brown & Loaf Pt	26	19.88	9.0	26
2006	01-May	2	Tribune	Loaf Point	27	23.64	NA	28
2006	02-May	2	Tribune	W of Bond Sound	28	26.11	9.0	28
2006	30-Apr	2	Tribune	Kwatsi Point	29	28.05	8.5	29
2006	30-Apr	2	Tribune	West of Kwatsi Bay	30	29.73	8.5	28
2006	28-Apr	2	Tribune	East of Glacier Falls	31	32.58	8.0	30
2006	28-Apr	2	Tribune	4 sites E of Eagle nest Bay	32	34.81	8.0	30
2006	28-Apr	2	Tribune	3 sites E of Eagle Nest Bay	33	36.84	8.0	30
2006	28-Apr	2	Tribune	2 sites E of Eagle Nest Bay	34	38.86	8.0	30
2006	28-Apr	2	Tribune	1 site E of Eagle Nest Bay	35	40.89	8.3	30
2006	27-Apr	2	Tribune	Eagle Nest Bay	36	42.84	8.5	30
2006	27-Apr	2	Tribune	Fry Bay	37	44.44	8.5	30
2006	27-Apr	2	Tribune	Mid-Burdwoods(NE Denham Isl)	38	47.37	8.5	32
2006	27-Apr	2	Tribune	Denham Bay	39	48.19	8.5	32
2006	29-Apr	2	Tribune	Kingfisher Isl	40	51.55	8.0	29
2006	29-Apr	2	Tribune	Bay of the Damned	41	55.68	8.5	29
2006	04-May	2	Upper Knight	Sallie Pt	1	-40.24	9.0	26
2006	06-May	2	Upper Knight	1 site W of Sallie Point	2	-35.91	10.0	27
2006	04-May	2	Upper Knight	2 sites W of Salie Point	3	-32.44	11.0	28
2006	04-May	2	Upper Knight	Matsiu Crk logging camp	4	-28.74	11.0	27
2006	04-May	2	Upper Knight	1 site E of Hoeya Hd	5	-25.55	11.0	27
2006	04-May	2	Upper Knight	Hoeya Head	6	-21.3	11.0	27
2006	05-May	2	Upper Knight	1site W of Hoeya Hd	7	-18.13	11.0	28
2006	06-May	2	Upper Knight	2 sites W of Hoeya Hd	8	-13.42	9.5	28
2006	05-May	2	Upper Knight	3 sites W of Hoeya Hd	9	-10.9	10.0	28
2006	05-May	2	Upper Knight	4 sites W of Hoeya Hd	10	-8.1	10.5	25
2006	05-May	2	Upper Knight	Steep Head	11	-6.4	10.0	28
2006	05-May	2	Upper Knight	SE Viscount	12	-5.28	10.5	30
2006	06-May	2	Upper Knight	SW Viscount	13	-1.9	8.8	29
2006	05-May	2	Upper Knight	Shewell	14	0	10.0	28
2006	19-May	3	Tribune	Braza islet	14	2	11.5	28
2006	17-May	3	Tribune	2 sites S of Humphrrey Rock	15	3.02	10.5	30
2006	17-May	3	Tribune	1 site S of Humphrey Rock	16	4.02	10.0	30
2006	16-May	3	Tribune	Humphrey Rck	17	4.78	12.0	30
2006	17-May	3	Tribune	1 site N of Humphrey	18	5.92	11.0	29
2006	14-May	3	Tribune	3 sites S of S Kumlah	19	6.82	9.5	28
2006	14-May	3	Tribune	2 sites S of S Kumlah	20	8.32	9.5	30
2006	14-May	3	Tribune	1 site south of S Kumlah	21	10.82	8.5	27
2006	14-May	3	Tribune	S Kumlah	22	13.32	11.0	29
2006	14-May	3	Tribune	N Kumlah 	23	15.2	12.5	28
2006	17-May	3	Tribune	NW of Trafford Pt 	24	17.7	10.5	9
2006	17-May	3	Tribune	Brown Point	25	19.7	9.5	10
2006	13-May	3	Tribune	btw Loaf & Brown Point	26	23.1	12.0	28
2006	13-May	3	Tribune	Loaf Pt	27	25.22	10.0	31
2006	13-May	3	Tribune	Kwatsi Point	28	30.18	10.0	30
2006	11-May	3	Tribune	2 Sites E of Glacier Falls	29	31.39	10.0	29
2006	13-May	3	Tribune	W of Kwatsi Bay	30	33.69	9.5	26
2006	12-May	3	Tribune	E of Glacier Falls	31	35.69	11.0	29
2006	12-May	3	Tribune	3 sites E of EN Bay	32	38.9	10.0	30
2006	12-May	3	Tribune	2 sites E of EN Bay	33	41.39	10.0	27
2006	12-May	3	Tribune	1site E of EN Bay	34	43.7	10.0	25.5
2006	11-May	3	Tribune	Eagle Nest Bay	35	45.95	10.0	27
2006	11-May	3	Tribune	Fry Bay	36	47.55	11.0	24
2006	15-May	3	Tribune	Mid Burdwoods	37	50.48	16.0	30
2006	11-May	3	Tribune	Denham Bay	38	51.3	8.0	32
2006	15-May	3	Tribune	kingfisher Island	39	54.55	13.0	28
2006	18-May	3	Tribune	1 site W of Kingfisher	40	56.65	10.8	28
2006	15-May	3	Tribune	Bay of the Damned	41	58.54	10.5	30
2006	15-May	3	Tribune	Pemberton Point	42	61.56	10.5	32
2006	18-May	3	Tribune	1 site W of Pemberton Point	43	63.16	10.5	30
2006	17-May	3	Tribune	Bay E of Wicklow	44	64.88	12.0	31
2006	18-May	3	Tribune	Bay W of Wicklow	45	67.48	10.5	32
2006	21-May	3	Upper Knight	Sallie Pt 	1	-40.14	12.0	21
2006	20-May	3	Upper Knight	4 sites E of Hoeya Head	2	-36.64	12.0	23
2006	21-May	3	Upper Knight	3 sites E of Hoeya Head	3	-33.5	12.0	22
2006	20-May	3	Upper Knight	2 sites E of Hoeya Head	4	-29.63	11.0	26
2006	20-May	3	Upper Knight	1 site E of Hoeya Head	5	-26.55	10.5	27
2006	20-May	3	Upper Knight	Hoeya Hd 	6	-15.55	10.5	27
2006	22-May	3	Upper Knight	Unknown	7	-23.45	12.0	11
2006	20-May	3	Upper Knight	2 sites E of Steep Head	8	-9.19	9.5	28
2006	19-May	3	Upper Knight	1 site E of Steep Head	9	-6.49	9.5	30
2006	19-May	3	Upper Knight	Steep Head	10	-4.89	9.0	29
2006	19-May	3	Upper Knight	SE Viscount	11	-3.76	9.5	27
2006	19-May	3	Upper Knight	SW Viscount	12	-2.06	10.5	31
2006	19-May	3	Upper Knight	Shewell	13	0	10.0	29
2007	21-Apr	1	Lower Knight	1 site W. of Shewell Isl.	17	2.39	8.5	29
2007	22-Apr	1	Lower Knight	1 site W. of Doctor Islets	18	3.97	8.5	28
2007	22-Apr	1	Lower Knight	2 site W. of Doctor Islets	19	4.83	8.7	26
2007	21-Apr	1	Lower Knight	1 Site W. of Stormy Bluff	20	7.62	8.0	30
2007	22-Apr	1	Lower Knight	2 sites W. of Stormy Bluff	21	9.28	NA	28
2007	22-Apr	1	Lower Knight	W. end of Lady Isl.	22	12.04	NA	30
2007	22-Apr	1	Lower Knight	E. end of Lady Isl.	23	14.17	NA	30
2007	22-Apr	1	Lower Knight	1 site W. of Port Elizabeth	24	16.13	NA	30
2007	23-Apr	1	Lower Knight	2 sites W. of Port Elizabeth	25	17.71	11.0	27
2007	23-Apr	1	Lower Knight	1 site E. of Chop Bay	26	19.47	9.0	30
2007	23-Apr	1	Lower Knight	1 site W. of Chop Bay	27	22.11	8.5	30
2007	23-Apr	1	Lower Knight	Slope Pt.	28	24.02	8.5	30
2007	21-Apr	1	Tribune	Shewell Isl.	16	0.43	7.8	30
2007	22-Apr	1	Tribune	2 Sites S. of Braza Isl.	17	1.77	8.3	28
2007	21-Apr	1	Tribune	1 Site S. of Braza Isl.	18	2.68	8.5	29
2007	19-Apr	1	Tribune	1 Site N. of Braza Isl.	19	3.7	7.5	30
2007	19-Apr	1	Tribune	2 sites N. of Braza Isl	20	4.55	8.0	30
2007	19-Apr	1	Tribune	1 Site S. of Humphrey Rock	21	5.71	8.0	30
2007	19-Apr	1	Tribune	1 Site N. of Humphrey Rock	22	6.89	8.0	29
2007	18-Apr	1	Tribune	2 Sites N. of Humphrey Rock	23	7.74	7.5	28
2007	16-Apr	1	Tribune	3 sites N. of Humphrey Rock	24	9.75	7.3	22
2007	16-Apr	1	Tribune	Across from N. end of Viscount Isl.	25	11.36	7.5	25
2007	16-Apr	1	Tribune	1 site S. of Trafford Pt.	26	13.11	7.0	27
2007	16-Apr	1	Tribune	Trafford Pt.	27	15.89	7.0	26
2007	16-Apr	1	Tribune	1 Site W. of Trafford Pt.	28	17.33	7.0	25
2007	15-May	1	Tribune	Across from Brown Pt.	29	19.81	7.5	11
2007	15-May	1	Tribune	Brown Pt.	30	22.28	7.5	25
2007	15-May	1	Tribune	Loaf Pt.	31	24.56	7.5	25
2007	15-May	1	Tribune	2 Sites E. of Kwatsi Pt.	32	26.76	8.0	25
2007	15-May	1	Tribune	1 Site E. of Kwatsi Pt.	33	29.55	7.5	27
2007	15-May	1	Tribune	Kwatsi Pt.	34	31.96	7.5	26
2007	12-Apr	1	Tribune	1 Site E. of Glacier Falls	35	34.37	8.5	26
2007	12-Apr	1	Tribune	Glacier Falls	36	36.39	8.0	30
2007	12-Apr	1	Tribune	4 Sites E. of Eagle Nest Bay	37	38.61	7.9	26
2007	12-Apr	1	Tribune	3 Sites E. of Eagle Nest Bay	38	40.68	7.8	25
2007	12-Apr	1	Tribune	2 Sites E. of Eagle Nest Bay	39	42.52	7.0	20
2007	11-Apr	1	Tribune	1 Site E. of Eagle Nest Bay	40	44.54	8.5	27
2007	11-Apr	1	Tribune	Eagle Nest Bay	41	46.46	8.5	27
2007	11-Apr	1	Tribune	Fry Bay	42	48	8.0	27
2007	11-Apr	1	Tribune	NE Denham Is.	43	50.95	8.0	27
2007	11-Apr	1	Tribune	Village Pt.	44	51.7	8.0	27
2007	21-Apr	1	Upper Knight	4 sites E. of Hoeya Head	1	-32.84	8.0	22
2007	21-Apr	1	Upper Knight	3 sites E. of Hoeya Head	2	-28.06	8.3	22
2007	20-Apr	1	Upper Knight	2 sites E. of Hoeya Head	3	-24.23	8.0	29
2007	20-Apr	1	Upper Knight	1 site E. of Hoeya Head	4	-21.53	8.0	30
2007	20-Apr	1	Upper Knight	Hoeya Head	5	-19.43	8.0	31
2007	20-Apr	1	Upper Knight	Lull Bay	6	-17.16	7.6	25
2007	20-Apr	1	Upper Knight	3 sites E. of Shelterless Pt.	7	-14.98	8.0	29
2007	20-Apr	1	Upper Knight	2 sites E. of Shelterless Pt.	8	-12.73	7.5	28
2007	19-Apr	1	Upper Knight	Shelterless Pt.	9	-10.87	8.0	27
2007	19-Apr	1	Upper Knight	3 sites E. of Steep Head	10	-9.06	8.0	26
2007	19-Apr	1	Upper Knight	2 sites E. of Steep Head	11	-7.15	7.5	26
2007	18-Apr	1	Upper Knight	1 site E. of Steep Head	12	-5.54	8.5	28
2007	18-Apr	1	Upper Knight	Steep Head	13	-4.37	8.5	29
2007	18-Apr	1	Upper Knight	SE Corner of Viscount Isl.	14	-3.13	8.0	29
2007	18-Apr	1	Upper Knight	SW Corner of Viscount Isl.	15	-1.79	8.0	34
2007	10-May	2	Lower Knight	2 site S. of Braza Isl.	15	1.91	8.5	31
2007	10-May	2	Lower Knight	3 site S. of Braza Isl.	16	4.51	9.0	33
2007	10-May	2	Lower Knight	Doctor Islets	17	5.4	9.2	33
2007	10-May	2	Lower Knight	1 site W. of Doctor Islets	18	6.18	8.5	29
2007	11-May	2	Lower Knight	3 sites W. of Doctor Islets	19	7.08	8.7	30
2007	11-May	2	Lower Knight	5 sites W. of Doctor Islets	20	9.25	9.5	34
2007	13-May	2	Lower Knight	E. of Lady Isl.	21	11.04	8.0	32
2007	10-May	2	Lower Knight	W. end of Lady Isl.	22	13.32	9.5	32
2007	11-May	2	Lower Knight	E. end of Lady Isl.	23	14.69	9.0	33
2007	12-May	2	Lower Knight	1 site W. of Lady Isl.	24	15.93	8.5	32
2007	12-May	2	Lower Knight	3 sites W. of Lady Isl	25	16.86	9.0	33
2007	11-May	2	Lower Knight	2 sites W. of Lady Isl.	26	18.41	9.5	35
2007	12-May	2	Lower Knight	Tribune Pt.	27	19.47	8.0	36
2007	12-May	2	Lower Knight	1 site W. of Tribune Pt.	28	20.2	9.0	34
2007	12-May	2	Lower Knight	Chop Bay	29	20.97	9.5	33
2007	13-May	2	Lower Knight	1 site W. of Chop Bay	30	22.17	8.0	32
2007	13-May	2	Lower Knight	2 sites W. of Chop Bay	31	23.38	8.0	33
2007	13-May	2	Lower Knight	3 sites W. of Chop Bay	32	24.24	8.0	34
2007	13-May	2	Lower Knight	Slope Pt.	33	25.03	8.0	33
